post_date,account_username,comment_username,comment_text,likes_comment,comment_time,caption,post_url,total_post_likes,total_post_comments
2023-01-03,cnbcindonesia,user_1846,Porto hancur cut loss mending. [5289],3,2023-01-04 13:35:53.771792393,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock70/,5933,223
2023-01-03,katadatacoid,user_68584,Ekonomi merah merona cut loss mending. [5208],4,2023-01-04 02:24:15.968532284,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock71/,5012,212
2023-01-03,bisniscom,user_83180,Ekonomi anjlok resesi di depan mata. [1009],0,2023-01-04 00:54:38.165272175,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock72/,5626,198
2023-01-03,bisniscom,user_94070,Kebijakan BI meroket mantap! #cuan [3824],3,2023-01-04 17:40:00.362012067,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock73/,5169,308
2023-01-03,bisniscom,user_88388,IHSG turun tajam pada kabur. [6951],0,2023-01-04 14:32:22.558751958,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock74/,5762,363
2023-01-04,kontannews,user_21611,Kebijakan BI sangat bagus waktunya serok bawah 🚀 [1077],1,2023-01-04 18:43:44.755491849,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock75/,6201,259
2023-01-04,kontannews,user_68728,IHSG bearish cut loss mending. [3712],11,2023-01-04 10:19:06.952231741,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock76/,4252,305
2023-01-04,kontannews,user_25519,Porto turun tajam gak jelas! 🤬 [2202],5,2023-01-04 20:13:29.148971632,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock77/,4987,405
2023-01-04,kontannews,user_3336,IHSG apa dampaknya akhir tahun? [1950],0,2023-01-04 13:50:51.345711523,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock78/,4948,484
2023-01-04,katadatacoid,user_65435,Porto boncos pada kabur. [7359],2,2023-01-05 00:32:13.542451415,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock79/,3981,597
2023-01-04,bisniscom,user_76683,Perbankan tolong jelaskan lebih detail? [7898],3,2023-01-05 03:36:35.739191306,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock80/,3941,248
2023-01-04,katadatacoid,user_3443,Porto bearish resesi di depan mata. [9554],12,2023-01-04 22:45:57.935931197,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock81/,4731,256
2023-01-04,bisniscom,user_1126,Kebijakan merah merona pada kabur. [4876],0,2023-01-04 17:50:20.132671089,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock82/,4370,281
2023-01-04,kontannews,user_37244,IHSG tolong jelaskan min? [6732],0,2023-01-04 15:44:42.329410980,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock83/,5055,409
2023-01-04,idx_channel,user_40224,Asing anjlok resesi di depan mata. [4507],0,2023-01-05 01:20:04.526150871,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock84/,4789,205
2023-01-04,katadatacoid,user_37368,Perbankan menunggu rilis lebih detail? [9609],4,2023-01-05 02:36:26.722890763,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock85/,3874,285
2023-01-04,cnbcindonesia,user_38148,Porto boncos cut loss mending. [7320],4,2023-01-04 22:41:48.919630654,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock86/,4327,234
2023-01-04,cnbcindonesia,user_53853,Kondisi ekonomi meroket mantap! #cuan [5243],9,2023-01-05 06:45:11.116370545,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock87/,5000,315
2023-01-04,cnbcindonesia,user_34719,Porto bearish gak jelas! 🤬 [9058],11,2023-01-04 14:08:33.313110437,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock88/,7256,242
2023-01-04,idx_channel,user_49302,Ekonomi crash cut loss mending. [6490],3,2023-01-04 22:56:55.509850328,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock89/,2921,175
2023-01-04,kontannews,user_76629,IHSG bullish waktunya serok bawah 🚀 [5873],3,2023-01-04 17:00:17.706590219,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock90/,4743,402
2023-01-04,cnbcindonesia,user_57373,Investasi sangat bagus inflasi terkendali. [9519],2,2023-01-05 13:24:39.903330111,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock91/,5500,194
2023-01-04,katadatacoid,user_87925,Suku bunga hold dulu wait and see. [9356],1,2023-01-05 09:14:02.100070002,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock92/,5230,228
2023-01-04,cnbcindonesia,user_32419,Market bullish waktunya serok bawah 🚀 [2308],6,2023-01-05 08:03:24.296809893,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock93/,3501,413
2023-01-04,katadatacoid,user_79757,Kebijakan merah merona ngeri bgt. [1804],7,2023-01-05 10:31:46.493549785,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock94/,3246,245
2023-01-04,bisniscom,user_68642,Inflasi apa dampaknya bulan ini. [3679],11,2023-01-04 22:33:08.690289676,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock95/,4935,165
2023-01-04,cnbcindonesia,user_56029,Saham bullish mantap! #cuan [8368],5,2023-01-05 05:37:30.887029567,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock96/,5018,334
2023-01-04,idx_channel,user_58384,Asing hancur resesi di depan mata. [6475],1,2023-01-05 15:42:53.083769459,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock97/,4931,42
2023-01-04,bisniscom,user_82182,Saham naik inflasi terkendali. [3074],10,2023-01-05 02:08:15.280509350,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock98/,5711,166
2023-01-05,idx_channel,user_90563,Kebijakan BI meroket untuk jangka panjang. [4028],7,2023-01-05 02:28:37.477249241,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock99/,5517,227
2023-01-05,kontannews,user_54002,Market hijau terus inflasi terkendali. [9340],1,2023-01-05 12:32:59.673989132,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock100/,4024,405
2023-01-05,kontannews,user_75478,Market apa dampaknya bulan ini. [8715],1,2023-01-05 23:23:21.870729024,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock101/,4994,234
2023-01-05,idx_channel,user_16048,IHSG hijau terus untuk jangka panjang. [2524],2,2023-01-05 23:54:44.067468915,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock102/,5767,460
2023-01-05,cnbcindonesia,user_76186,Market hijau terus inflasi terkendali. [5203],1,2023-01-05 18:38:06.264208806,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock103/,4692,234
2023-01-05,kontannews,user_95006,Market apa dampaknya bulan ini. [4640],3,2023-01-05 05:22:28.460948698,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock104/,6064,311
2023-01-05,idx_channel,user_78454,Market apa dampaknya bulan ini. [6387],5,2023-01-05 14:17:50.657688589,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock105/,5429,320
2023-01-05,katadatacoid,user_70768,Market bearish ngeri bgt. [8686],1,2023-01-05 20:54:12.854428480,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock106/,4960,368
2023-01-05,bisniscom,user_88312,Perbankan tolong jelaskan bulan ini. [1614],5,2023-01-06 03:41:35.051168372,Berita ekonomi terbaru dari bisniscom. IHSG bergerak fluktuatif.,https://instagram.com/p/mock107/,4565,269
2023-01-05,katadatacoid,user_57846,Suku bunga menunggu rilis wait and see. [9230],8,2023-01-06 07:56:57.247908263,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock108/,6230,383
2023-01-05,cnbcindonesia,user_53393,Perbankan hold dulu bulan ini. [9502],23,2023-01-05 14:13:19.444648154,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock109/,5082,406
2023-01-05,kontannews,user_62916,Portofolio menguntungkan inflasi terkendali. [3032],0,2023-01-05 23:28:41.641388046,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock110/,5919,331
2023-01-05,cnbcindonesia,user_3050,IHSG hold dulu akhir tahun? [4760],3,2023-01-05 18:15:03.838127937,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock111/,3993,194
2023-01-05,idx_channel,user_81688,IHSG bullish mantap! #cuan [5494],2,2023-01-06 05:01:26.034867828,Berita ekonomi terbaru dari idx_channel. IHSG bergerak fluktuatif.,https://instagram.com/p/mock112/,5984,278
2023-01-05,kontannews,user_57979,Perbankan apa dampaknya wait and see. [6690],9,2023-01-06 12:09:48.231607720,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock113/,5289,545
2023-01-05,katadatacoid,user_15199,IHSG hijau terus mantap! #cuan [7402],2,2023-01-05 15:48:10.428347611,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock114/,4626,182
2023-01-05,katadatacoid,user_8287,IHSG hancur gak jelas! 🤬 [5876],6,2023-01-06 10:25:32.625087502,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock115/,6547,479
2023-01-05,katadatacoid,user_89801,Ekonomi hancur pada kabur. [2218],9,2023-01-06 01:31:54.821827394,Berita ekonomi terbaru dari katadatacoid. IHSG bergerak fluktuatif.,https://instagram.com/p/mock116/,5506,279
2023-01-05,kontannews,user_71831,Kondisi ekonomi rebound waktunya serok bawah 🚀 [4972],3,2023-01-06 01:23:17.018567285,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock117/,5907,303
2023-01-05,kontannews,user_87231,Market hancur ngeri bgt. [2312],7,2023-01-06 14:39:39.215307176,Berita ekonomi terbaru dari kontannews. IHSG bergerak fluktuatif.,https://instagram.com/p/mock118/,4362,252
2023-01-05,cnbcindonesia,user_70274,Asing anjlok ngeri bgt. [5286],6,2023-01-05 19:53:01.412047068,Berita ekonomi terbaru dari cnbcindonesia. IHSG bergerak fluktuatif.,https://instagram.com/p/mock119/,6040,290
